epoch,lr-AdamW,step,train_loss_epoch,train_loss_step,val_loss
,1.4980698747343061e-05,166,,,
1,,166,,3.0310378074645996,
,1.4980698747343061e-05,167,,,
1,,167,,2.78422474861145,
,1.4980698747343061e-05,168,,,
1,,168,,2.3827216625213623,
,1.4980698747343061e-05,169,,,
1,,169,,2.9068374633789062,
,1.4980698747343061e-05,170,,,
1,,170,,2.3083763122558594,
,1.4980698747343061e-05,171,,,
1,,171,,0.6603788733482361,
,1.4980698747343061e-05,172,,,
1,,172,,2.3774337768554688,
,1.4980698747343061e-05,173,,,
1,,173,,2.1078381538391113,
,1.4980698747343061e-05,174,,,
1,,174,,2.0815463066101074,
,1.4980698747343061e-05,175,,,
1,,175,,2.0225181579589844,
,1.4980698747343061e-05,176,,,
1,,176,,0.9314343929290771,
,1.4980698747343061e-05,177,,,
1,,177,,2.971503734588623,
,1.4980698747343061e-05,178,,,
1,,178,,2.0625011920928955,
,1.4980698747343061e-05,179,,,
1,,179,,3.240800619125366,
,1.4980698747343061e-05,180,,,
1,,180,,1.8784458637237549,
,1.4980698747343061e-05,181,,,
1,,181,,2.3034470081329346,
,1.4980698747343061e-05,182,,,
1,,182,,1.6691068410873413,
,1.4980698747343061e-05,183,,,
1,,183,,2.3308444023132324,
,1.4980698747343061e-05,184,,,
1,,184,,3.7997474670410156,
,1.4980698747343061e-05,185,,,
1,,185,,1.692451000213623,
,1.4980698747343061e-05,186,,,
1,,186,,4.054688453674316,
,1.4980698747343061e-05,187,,,
1,,187,,1.44730544090271,
,1.4980698747343061e-05,188,,,
1,,188,,2.044708490371704,
,1.4980698747343061e-05,189,,,
1,,189,,0.6492892503738403,
,1.4980698747343061e-05,190,,,
1,,190,,1.5216763019561768,
,1.4980698747343061e-05,191,,,
1,,191,,2.9313242435455322,
,1.4980698747343061e-05,192,,,
1,,192,,2.278937578201294,
,1.4980698747343061e-05,193,,,
1,,193,,2.967478036880493,
,1.4980698747343061e-05,194,,,
1,,194,,0.236081063747406,
,1.4980698747343061e-05,195,,,
1,,195,,1.1088396310806274,
,1.4980698747343061e-05,196,,,
1,,196,,1.7058883905410767,
,1.4980698747343061e-05,197,,,
1,,197,,1.3447234630584717,
,1.4980698747343061e-05,198,,,
1,,198,,1.6220890283584595,
,1.4980698747343061e-05,199,,,
1,,199,,3.7617626190185547,
,1.4980698747343061e-05,200,,,
1,,200,,1.38872230052948,
,1.4980698747343061e-05,201,,,
1,,201,,4.247276782989502,
,1.4980698747343061e-05,202,,,
1,,202,,2.901916980743408,
,1.4980698747343061e-05,203,,,
1,,203,,3.13037371635437,
,1.4980698747343061e-05,204,,,
1,,204,,1.6660473346710205,
,1.4980698747343061e-05,205,,,
1,,205,,1.4499170780181885,
,1.4980698747343061e-05,206,,,
1,,206,,2.7092461585998535,
,1.4980698747343061e-05,207,,,
1,,207,,1.7027385234832764,
,1.4980698747343061e-05,208,,,
1,,208,,4.278707504272461,
,1.4980698747343061e-05,209,,,
1,,209,,1.7309273481369019,
,1.4980698747343061e-05,210,,,
1,,210,,2.225884437561035,
,1.4980698747343061e-05,211,,,
1,,211,,2.3438475131988525,
,1.4980698747343061e-05,212,,,
1,,212,,0.3984834849834442,
,1.4980698747343061e-05,213,,,
1,,213,,0.8150646686553955,
,1.4980698747343061e-05,214,,,
1,,214,,1.4700889587402344,
,1.4980698747343061e-05,215,,,
1,,215,,1.4794431924819946,
,1.4980698747343061e-05,216,,,
1,,216,,2.1059834957122803,
,1.4980698747343061e-05,217,,,
1,,217,,1.8457430601119995,
,1.4980698747343061e-05,218,,,
1,,218,,1.6108176708221436,
,1.4980698747343061e-05,219,,,
1,,219,,1.4275319576263428,
,1.4980698747343061e-05,220,,,
1,,220,,4.039163112640381,
,1.4980698747343061e-05,221,,,
1,,221,,2.4362733364105225,
,1.4980698747343061e-05,222,,,
1,,222,,3.7185916900634766,
,1.4980698747343061e-05,223,,,
1,,223,,2.120558977127075,
,1.4980698747343061e-05,224,,,
1,,224,,1.0765628814697266,
,1.4980698747343061e-05,225,,,
1,,225,,1.8915627002716064,
,1.4980698747343061e-05,226,,,
1,,226,,1.8828818798065186,
,1.4980698747343061e-05,227,,,
1,,227,,3.264580249786377,
,1.4980698747343061e-05,228,,,
1,,228,,2.1220057010650635,
,1.4980698747343061e-05,229,,,
1,,229,,2.7480881214141846,
,1.4980698747343061e-05,230,,,
1,,230,,1.8590456247329712,
,1.4980698747343061e-05,231,,,
1,,231,,2.076167106628418,
,1.4980698747343061e-05,232,,,
1,,232,,1.6872230768203735,
,1.4980698747343061e-05,233,,,
1,,233,,1.9314653873443604,
,1.4980698747343061e-05,234,,,
1,,234,,2.8880531787872314,
,1.4980698747343061e-05,235,,,
1,,235,,1.4380097389221191,
,1.4980698747343061e-05,236,,,
1,,236,,1.613874912261963,
,1.4980698747343061e-05,237,,,
1,,237,,2.0798287391662598,
,1.4980698747343061e-05,238,,,
1,,238,,2.1855318546295166,
,1.4980698747343061e-05,239,,,
1,,239,,1.078447937965393,
,1.4980698747343061e-05,240,,,
1,,240,,0.8695926070213318,
,1.4980698747343061e-05,241,,,
1,,241,,1.8319456577301025,
,1.4980698747343061e-05,242,,,
1,,242,,2.9170660972595215,
,1.4980698747343061e-05,243,,,
1,,243,,1.8680270910263062,
,1.4980698747343061e-05,244,,,
1,,244,,0.6852556467056274,
,1.4980698747343061e-05,245,,,
1,,245,,1.293882131576538,
,1.4980698747343061e-05,246,,,
1,,246,,0.4420715570449829,
,1.4980698747343061e-05,247,,,
1,,247,,3.451951265335083,
,1.4980698747343061e-05,248,,,
1,,248,,0.270624577999115,
,1.4980698747343061e-05,249,,,
1,,249,,3.497385263442993,
,1.4980698747343061e-05,250,,,
1,,250,,3.4664390087127686,
,1.4980698747343061e-05,251,,,
1,,251,,4.978623390197754,
,1.4980698747343061e-05,252,,,
1,,252,,2.704335927963257,
,1.4980698747343061e-05,253,,,
1,,253,,1.0191105604171753,
,1.4980698747343061e-05,254,,,
1,,254,,2.478034734725952,
,1.4980698747343061e-05,255,,,
1,,255,,1.9294507503509521,
,1.4980698747343061e-05,256,,,
1,,256,,1.5335657596588135,
,1.4980698747343061e-05,257,,,
1,,257,,3.0148215293884277,
,1.4980698747343061e-05,258,,,
1,,258,,2.7652204036712646,
,1.4980698747343061e-05,259,,,
1,,259,,1.8700395822525024,
,1.4980698747343061e-05,260,,,
1,,260,,2.0073606967926025,
,1.4980698747343061e-05,261,,,
1,,261,,2.091240406036377,
,1.4980698747343061e-05,262,,,
1,,262,,2.362663507461548,
,1.4980698747343061e-05,263,,,
1,,263,,1.3513352870941162,
,1.4980698747343061e-05,264,,,
1,,264,,1.4251211881637573,
,1.4980698747343061e-05,265,,,
1,,265,,5.202365875244141,
,1.4980698747343061e-05,266,,,
1,,266,,2.1941492557525635,
,1.4980698747343061e-05,267,,,
1,,267,,3.0869593620300293,
,1.4980698747343061e-05,268,,,
1,,268,,4.181303977966309,
,1.4980698747343061e-05,269,,,
1,,269,,1.3594613075256348,
,1.4980698747343061e-05,270,,,
1,,270,,0.9860752820968628,
,1.4980698747343061e-05,271,,,
1,,271,,1.3190505504608154,
,1.4980698747343061e-05,272,,,
1,,272,,1.218398094177246,
,1.4980698747343061e-05,273,,,
1,,273,,2.6060290336608887,
,1.4980698747343061e-05,274,,,
1,,274,,1.4204264879226685,
,1.4980698747343061e-05,275,,,
1,,275,,3.0280890464782715,
,1.4980698747343061e-05,276,,,
1,,276,,2.717564582824707,
,1.4980698747343061e-05,277,,,
1,,277,,3.525102138519287,
,1.4980698747343061e-05,278,,,
1,,278,,1.462939977645874,
,1.4980698747343061e-05,279,,,
1,,279,,3.965925931930542,
,1.4980698747343061e-05,280,,,
1,,280,,2.043085813522339,
,1.4980698747343061e-05,281,,,
1,,281,,1.729588270187378,
,1.4980698747343061e-05,282,,,
1,,282,,1.1206448078155518,
,1.4980698747343061e-05,283,,,
1,,283,,1.9698877334594727,
,1.4980698747343061e-05,284,,,
1,,284,,1.0046409368515015,
,1.4980698747343061e-05,285,,,
1,,285,,0.5684407949447632,
1,,285,,,1.9586901664733887
1,,285,2.19547700881958,,
,1.497470753921364e-05,286,,,
2,,286,,1.3109824657440186,
,1.497470753921364e-05,287,,,
2,,287,,1.051650881767273,
,1.497470753921364e-05,288,,,
2,,288,,2.4835405349731445,
,1.497470753921364e-05,289,,,
2,,289,,4.759767532348633,
,1.497470753921364e-05,290,,,
2,,290,,3.539497137069702,
,1.497470753921364e-05,291,,,
2,,291,,1.380012035369873,
,1.497470753921364e-05,292,,,
2,,292,,1.62541925907135,
,1.497470753921364e-05,293,,,
2,,293,,2.46394681930542,
,1.497470753921364e-05,294,,,
2,,294,,2.1163899898529053,
,1.497470753921364e-05,295,,,
2,,295,,1.02121901512146,
,1.497470753921364e-05,296,,,
2,,296,,0.877447247505188,
,1.497470753921364e-05,297,,,
2,,297,,1.7302491664886475,
,1.497470753921364e-05,298,,,
2,,298,,2.939304828643799,
,1.497470753921364e-05,299,,,
2,,299,,1.874428391456604,
,1.497470753921364e-05,300,,,
2,,300,,3.153451919555664,
,1.497470753921364e-05,301,,,
2,,301,,3.95489501953125,
,1.497470753921364e-05,302,,,
2,,302,,1.7265434265136719,
,1.497470753921364e-05,303,,,
2,,303,,3.2725510597229004,
,1.497470753921364e-05,304,,,
2,,304,,3.0949547290802,
,1.497470753921364e-05,305,,,
2,,305,,2.146160840988159,
,1.497470753921364e-05,306,,,
2,,306,,2.67051362991333,
,1.497470753921364e-05,307,,,
2,,307,,1.840132474899292,
,1.497470753921364e-05,308,,,
2,,308,,2.9199323654174805,
,1.497470753921364e-05,309,,,
